,LapTime,Driver,LapNumber,Stint,Compound,TyreLife,Team,TrackStatus,Position,FastestQualifyingLapTime
270,110439.0,STR,1.0,1.0,SOFT,1.0,Aston Martin,1,17.0,93032.0
271,101019.0,STR,2.0,1.0,SOFT,2.0,Aston Martin,1,16.0,93032.0
272,100887.0,STR,3.0,1.0,SOFT,3.0,Aston Martin,1,16.0,93032.0
273,101931.0,STR,4.0,1.0,SOFT,4.0,Aston Martin,1,17.0,93032.0
274,101715.0,STR,5.0,1.0,SOFT,5.0,Aston Martin,1,17.0,93032.0
275,101897.0,STR,6.0,1.0,SOFT,6.0,Aston Martin,1,17.0,93032.0
276,101827.0,STR,7.0,1.0,SOFT,7.0,Aston Martin,1,17.0,93032.0
277,102174.0,STR,8.0,1.0,SOFT,8.0,Aston Martin,1,17.0,93032.0
278,101557.0,STR,9.0,1.0,SOFT,9.0,Aston Martin,1,16.0,93032.0
279,102350.0,STR,10.0,1.0,SOFT,10.0,Aston Martin,1,15.0,93032.0
280,102343.0,STR,11.0,1.0,SOFT,11.0,Aston Martin,1,15.0,93032.0
281,102462.0,STR,12.0,1.0,SOFT,12.0,Aston Martin,1,14.0,93032.0
282,102235.0,STR,13.0,1.0,SOFT,13.0,Aston Martin,1,13.0,93032.0
283,101803.0,STR,14.0,1.0,SOFT,14.0,Aston Martin,2,13.0,93032.0
284,101875.0,STR,15.0,1.0,SOFT,15.0,Aston Martin,1,10.0,93032.0
285,102592.0,STR,16.0,1.0,SOFT,16.0,Aston Martin,1,10.0,93032.0
286,101858.0,STR,17.0,1.0,SOFT,17.0,Aston Martin,1,10.0,93032.0
287,104384.0,STR,18.0,1.0,SOFT,18.0,Aston Martin,1,12.0,93032.0
288,120651.0,STR,19.0,2.0,SOFT,1.0,Aston Martin,1,19.0,93032.0
289,98940.0,STR,20.0,2.0,SOFT,2.0,Aston Martin,1,18.0,93032.0
290,98713.0,STR,21.0,2.0,SOFT,3.0,Aston Martin,1,17.0,93032.0
291,99655.0,STR,22.0,2.0,SOFT,4.0,Aston Martin,1,17.0,93032.0
292,99811.0,STR,23.0,2.0,SOFT,5.0,Aston Martin,1,17.0,93032.0
293,99887.0,STR,24.0,2.0,SOFT,6.0,Aston Martin,1,16.0,93032.0
294,99774.0,STR,25.0,2.0,SOFT,7.0,Aston Martin,1,16.0,93032.0
